0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,year,crawled_at
대 학 명,학 과 명,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",,2025,2025-06-16
,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,,2025,2025-06-16
,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,,2025,2025-06-16
인문대학,국어국문학과,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,39,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
,영어영문학과,단수전공자,13,6,6,3,3,3,2,36,16,23,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,3,3,2,36,16,23,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,3,3,2,36,16,23,15,54,40,130,,2025,2025-06-16
,독어독문학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,21,6,45,49,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,18,21,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,18,21,11,50,76,150,,2025,2025-06-16
,불어불문학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,21,6,45,49,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,18,21,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,18,21,11,50,76,150,,2025,2025-06-16
,중어중문학과,단수전공자,13,6,6,3,-,6,2,36,12,27,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,12,27,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,12,27,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,12,27,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,12,27,11,50,76,150,,2025,2025-06-16
,일어일문학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,21,6,45,49,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,18,21,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,18,21,11,50,76,150,,2025,2025-06-16
,한문학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,18,21,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,18,21,12,51,75,150,,2025,2025-06-16
,언어학과,단수전공자,13,6,6,3,-,6,2,36,78,,,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,39,,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,54,,,54,40,130,,2025,2025-06-16
,국사학과,단수전공자,13,6,6,3,-,6,2,36,3,36,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,45,,,45,49,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,3,36,15,54,40,130,,2025,2025-06-16
대 학 명,학 과 명,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",,2025,2025-06-16
,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,,2025,2025-06-16
,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,,2025,2025-06-16
인문대학,사학과,단수전공자,13,6,6,3,-,6,2,36,12,27,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,12,33,,45,49,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,12,27,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,12,27,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,12,27,11,50,76,150,,2025,2025-06-16
,고고학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,12,12,42,52,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,15,54,40,130,,2025,2025-06-16
,철학과,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,48,,48,46,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,-,39,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,-,39,11,50,76,150,,2025,2025-06-16
사회과학대학,사회학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,18,21,45,84,32,140,,2025,2025-06-16
